State Variable,1,x0,x1,x0^2,x0 x1,x1^2,x0^3,x0^2 x1,x0 x1^2,x1^3,sin(1 x0),cos(1 x0),sin(1 x1),cos(1 x1)
x0 prime ,0.0,0.0,0.535879317711587,0.0,0.0,0.0,0.0,0.49132806659390427,0.0,0.14563284225772488,0.0,0.0,-0.0328411591697855,0.0
x2 prime,0.0,-1.2341937432959942,0.0,0.0,0.0,0.0,-1.1427483162839323,0.0,-0.29892443226927806,0.0,-1.0417372220580114,0.0,0.0,0.0
,,,,,,,
