,'t',x_1,x_2,x_3,x_4,x_5,x_6,x_7,x_8,x_9,x_10,x_11,x_12,x_13,x_14,x_15,x_16,x_17,x_18,x_19,x_20,x_21,x_22,x_23,x_24,x_25,x_26,x_27,x_28,x_29,x_30
0,0.0,2.95324839790532,3.28566623409277,2.87693315124544,4.57038726665981,4.21645475425217,6.24302935357788,6.0952912104838,2.87368112183244,0.478690903516356,5.54162445379031,0.204232457373445,0.418131207950424,0.059391022069457,-0.245556939370571,-0.0159036430215443,-0.337291327957528,0.28365480766196,0.852708307581305,0.281711258905561,0.244056445240443,0.464299951630082,0.167771112551208,0.775104993371503,0.292562748138165,-0.475539441390469,-0.771320383586711,0.844048002484679,-0.936497924362644,-0.290347398060921,0.125126832072685
1,0.005,2.95417382169018,3.28671493614043,2.87755710955722,4.57008558293606,4.21699320150884,6.24243270673023,6.09481420196044,2.87396977810617,0.478009534890169,5.54025334234209,0.204437491600846,0.421467444360843,0.0575582245672027,-0.246970563903201,-0.0163425631477845,-0.337680889918218,0.285436826931766,0.852350976294775,0.282541964041009,0.242333680577661,0.464471047092699,0.167810919885702,0.775625173621929,0.292105235434794,-0.475655827785658,-0.771329566051809,0.845314339950192,-0.935623810452011,-0.29124748460695,0.123738451348242
2,0.01,2.95601901965825,3.28874048324179,2.87880895581113,4.56948930150793,4.21807379172358,6.24123543464743,6.09385723140669,2.87454879215253,0.476643525076943,5.5375807929066,0.204856024421026,0.427902985419892,0.0539805431557561,-0.249760154586595,-0.0172179142009047,-0.33845906025439,0.288909832289446,0.851642470479853,0.284203695319442,0.239071515698696,0.464799077768576,0.167868723810525,0.776662879161671,0.291197648959456,-0.475870968952028,-0.771347040547482,0.847772525209728,-0.933882656544241,-0.293036548230804,0.121044797152245
3,0.02,2.95785999405461,3.29068512511427,2.88006811820144,4.56890195492616,4.21915983137257,6.24003160278585,6.09289397869746,2.87513124446459,0.475271574937225,5.53498716952205,0.205284834552901,0.434057567500335,0.0505120003987048,-0.252500077793696,-0.0180895918208492,-0.339235807290013,0.292269875426433,0.850942196195442,0.285865735890551,0.236020582987829,0.465109346130799,0.167903007021148,0.777694674527383,0.290299659301905,-0.47606235107197,-0.771363440522768,0.850136770164399,-0.932150988445011,-0.294811385496049,0.118453098708523
4,0.03,2.9670097301762,3.29952473247036,2.8864566048188,4.566083877552,4.22466244498677,6.23391777556522,6.08799303514259,2.87809320553774,0.468337795356833,5.52287938976984,0.207549666011375,0.461609721312232,0.0345437945748849,-0.265503224139484,-0.0223887478210649,-0.343092627926099,0.307651109175444,0.847561664192168,0.294171773360539,0.223011381586576,0.466432336589293,0.167862909284359,0.782692482619257,0.285945923425314,-0.476677944474943,-0.771428980058546,0.860736707341566,-0.923634651060119,-0.3034760019111,0.106755294147558
5,0.08,2.97811355245757,3.30904696994021,2.89444473853982,4.56286263151413,4.23153480770138,6.22623112235208,6.0818236552401,2.88182620481774,0.45972690912133,5.50931126046691,0.210505503912253,0.490168989660002,0.0174348725179786,-0.28000213806611,-0.0275008807864874,-0.347733527642127,0.323981271141188,0.843690457088882,0.304285919544075,0.210268627141103,0.467636936318147,0.16759617364196,0.788295443680359,0.280900921914364,-0.476715149879199,-0.771470810441069,0.871469475809724,-0.913531490415771,-0.313613899900729,0.0946400247497598
6,0.141195625958148,2.99002189332508,3.31838085739526,2.90322909632738,4.55961846513273,4.23907977872126,6.21770468205991,6.07497568091741,2.8859796640401,0.450342088832142,5.49555182846844,0.21381075346907,0.516653690541619,0.0012116356316667,-0.294138607425494,-0.032806965200969,-0.352612708712099,0.33934196510561,0.839832351316446,0.315042595267774,0.198747771978028,0.468553841483662,0.167234159463962,0.793609562084192,0.27577202882474,-0.475974117716129,-0.771466717249962,0.880938730194694,-0.903025419654929,-0.323984053031303,0.0835491099694171
7,0.207195204312018,3.00131521919533,3.32668876204768,2.91172128620305,4.55672156431116,4.24634932769324,6.20938714527367,6.06828593769439,2.89004583544743,0.441366983236763,5.48296715635037,0.216995511459801,0.538761529844593,-0.0125412130402314,-0.306331329084992,-0.0376335124193084,-0.357105068994048,0.352287148797973,0.836461143223397,0.325028330453797,0.189144035194153,0.469140041089363,0.166885144373133,0.797964560516828,0.271168564485141,-0.47462153939895,-0.771414263352234,0.888357904124427,-0.893411421735116,-0.33330576523005,0.0744434275493093
8,0.269911778067366,3.01296990596484,3.33487762017775,2.92061695928102,4.55389853115736,4.25392314361554,6.2006029107995,6.06120186093349,2.8943580009654,0.432079178884291,5.47028598636129,0.22027862897077,0.559104870155437,-0.0253464970192739,-0.317804695676162,-0.0423805500921474,-0.361571001743836,0.364293098290671,0.833277453342415,0.334998402992233,0.180200286430284,0.469508459773822,0.166543176856862,0.801793199746611,0.266674368767739,-0.472667843011538,-0.771310015893253,0.894715699332582,-0.883870075496593,-0.342381895895043,0.0662011009562906
9,0.334568594934635,3.02957582771732,3.34607091788618,2.93347682349126,4.55014133585602,4.26476901598887,6.18779607333032,6.0508204022347,2.90068310821228,0.418866988727333,5.45256471660425,0.224878990286971,0.584547581468036,-0.0415521713938082,-0.332434774462892,-0.0487126049285064,-0.367591207574108,0.379445821815244,0.829253291351646,0.348440179778899,0.16875101984203,0.469691764047312,0.166101189476754,0.80619161366317,0.26070124533424,-0.469110442538054,-0.771074766987172,0.901930573143331,-0.870966365065304,-0.354347085356868,0.0560877935193276
