t,x0,x1
0.01,0.022360291061078,2.2359561708394304
0.02,0.0447183871748916,2.235620847669521
0.03,0.0670719884883994,2.23506219823247
0.04,0.0894188880600704,2.234280556309806
0.05,0.1117568581254321,2.2332763877472765
0.06,0.1340836766298832,2.2320502916480813
0.07,0.1563971273479116,2.2306030055648045
0.08,0.1786950028620716,2.2289353850972047
0.09,0.200975104423291,2.227048436851089
0.1,0.223235245073002,2.224943280750535
0.11,0.2454732475334757,2.222621157713159
0.12,0.2676869505184043,2.2200834508537204
0.13,0.2898742036288394,2.217331646302807
0.14,0.3120328760674241,2.2143673761193674
0.15,0.3341608454615499,2.2111923360877355
0.16,0.3562560221923285,2.207808426739022
0.17,0.3783163323789668,2.204217658896035
0.18,0.4003397025660571,2.20042204707499
0.19,0.4223240893779425,2.1964237602685848
0.2,0.4442674977078226,2.1922251760868883
0.21,0.4661679367042423,2.187828686892323
0.22,0.4880234203427894,2.1832367165058715
0.23,0.509832016296804,2.178451911652807
0.24,0.5315918238876679,2.1734770147257705
0.25,0.5533009428234641,2.1683147689706574
0.26,0.5749574991877695,2.1629680077000932
0.27,0.5965596861639403,2.157439754957094
0.28,0.6181057073270785,2.151733058956548
0.29,0.6395937698171023,2.1458509790277804
0.3,0.6610221406289426,2.139796719638739
0.31,0.6823891360842725,2.133573586389566
0.32,0.7036930739554095,2.1271848868869836
0.33,0.7249322917665896,2.120633970685553
0.34,0.7461052088986246,2.1139243282111826
0.35,0.7672102658102121,2.1070594788794317
0.36,0.7882459020740357,2.100042942987592
0.37,0.8092106014421104,2.092878309204168
0.38,0.8301029439728721,2.0855692715977434
0.39,0.8509215195752458,2.078119532710504
0.4,0.8716649181581565,2.0705327950846364
0.41,0.8923317418352474,2.0628127792612387
0.42,0.9129206999913956,2.054963296996827
0.43,0.9334305572517932,2.0469881830638768
0.44,0.95386007867894,2.0388912718871746
0.45,0.9742080293735436,2.0306763981743496
0.46,0.9944732157499414,2.022347426369501
0.47,1.0146545618107357,2.0139082511292448
0.48,1.0347510122368493,2.005362763542433
0.49,1.0547615117092048,1.996714854697918
0.5,1.0746850082156154,1.9879684186736344
0.51,1.0945205339847577,1.9791273598991352
0.52,1.1142672100659796,1.9701955604607857
0.53,1.133924161731494,1.961176898894984
0.54,1.153490514253512,1.9520752537381272
0.55,1.1729654107873493,1.942894505119384
0.56,1.1923481095420227,1.9336384918505276
0.5700000000000001,1.211637914233895,1.9243110188889807
0.58,1.2308341286902078,1.9149158908932624
0.59,1.2499360569987137,1.9054569128621115
0.6,1.2689430532986392,1.8959378683474104
0.61,1.2878545809022153,1.886362453320104
0.62,1.30667011750977,1.8767343461733952
0.63,1.3253891408216316,1.8670572253004876
0.64,1.3440111319674886,1.8573347691683204
0.65,1.362535656219693,1.847570583430291
0.66,1.3809623625826546,1.837768174500718
0.67,1.3992909034755407,1.8279310433339
0.68,1.4175209313175188,1.818062690884134
0.6900000000000001,1.4356521019488857,1.8081666154539988
0.7000000000000001,1.453684153238495,1.7982462196719708
0.71,1.4716169064907492,1.7883047880063645
0.72,1.4894501867060612,1.7783455977498404
0.73,1.507183818884844,1.76837192619506
0.74,1.5248176296479825,1.7583870488798032
0.75,1.5423515120926152,1.7483941449065616
0.76,1.5597854466741474,1.7383962488953095
0.77,1.5771194196851126,1.7283963836118776
0.78,1.5943534174180434,1.7183975718220963
0.79,1.6114874267085555,1.7084028356680918
0.8,1.6285214843334983,1.6984151137128447
0.81,1.6454557153388727,1.6884371777342586
0.8200000000000001,1.6622902536754225,1.6784717797170412
0.8300000000000001,1.679025233293891,1.6685216716459
0.84,1.6956607882555614,1.6585896053794051
0.85,1.7121970884937825,1.6486782648485403
0.86,1.728634389248248,1.6387901541440468
0.87,1.7449729580005378,1.6289277479336988
0.88,1.7612130622322315,1.619093520885271
0.89,1.7773549694278323,1.609289947663913
0.9,1.7933989715724794,1.5995194510665691
0.91,1.809345439798116,1.589784270298758
0.92,1.8251947609285784,1.5800866040056505
0.93,1.840947321787703,1.5704286508324166
0.94,1.8566035091993267,1.5608126094242265
0.95,1.8721637258803083,1.5512406412811115
0.96,1.8876284449460448,1.541714730002508
0.97,1.9029981586472304,1.532236806140532
0.98,1.9182733592276415,1.5228088002413611
0.99,1.933454538931056,1.5134326428511728
1.0,1.9485421904377167,1.5041102668542874
1.01,1.9635368661606567,1.494843441649642
1.02,1.978439165943813,1.4856337972600715
1.03,1.9932496902355108,1.476482961832304
1.04,2.0079690394840752,1.4673925635130658
1.05,2.0225978141378316,1.4583642304490845
1.06,2.0371366146451053,1.4493995907870871
1.07,2.0515860501260694,1.4405002495832082
1.08,2.0659467963889524,1.4316676128871737
1.09,2.0802195582846945,1.4229029871039631
1.1,2.0944050406458556,1.4142076780296264
1.11,2.108503948304995,1.405582991460212
1.12,2.122516986094674,1.3970302331917694
1.13,2.136444858847452,1.388550709020348
1.14,2.1502882757106305,1.38014571226696
1.15,2.1640479946995064,1.3718163765485292
1.16,2.177724802997377,1.3635637270962138
1.17,2.191319488018918,1.355388787249476
1.18,2.2048328371788024,1.3472925803477798
1.19,2.2182656378917045,1.3392761297305875
1.2,2.231618677572298,1.3313404587373625
1.21,2.244892745654765,1.3234865843631356
1.22,2.258088666063213,1.3157154005672944
1.23,2.271207289636853,1.3080276929654684
1.24,2.2842494677143232,1.3004242437783908
1.25,2.297216051634261,1.292905835226794
1.26,2.310107892735303,1.2854732495314114
1.27,2.322925842356087,1.2781272689129752
1.28,2.3356707526659153,1.2708686727623155
1.29,2.34834349905592,1.263698149925162
1.3,2.3609449803381257,1.25661628663021
