t,x0,x1
0.01,0.014141884445838,1.4141428388817208
0.02,0.0282823931825534,1.4139307352146333
0.03,0.0424200537831437,1.4135772989073794
0.04,0.0565534711674566,1.4130826355747166
0.05,0.0706812364016986,1.412446893394044
0.06,0.0848019395624262,1.4116702610123837
0.07,0.0989141730888683,1.410752970155423
0.08,0.1130165316476503,1.4096953005979178
0.09,0.1271076124704329,1.4084975557512265
0.1,0.1411860174677022,1.407160106335302
0.11,0.1552503505764109,1.4056833427863926
0.12,0.1692992219371461,1.404067709069548
0.13,0.1833312439813065,1.4023136763972748
0.14,0.1973450363108511,1.4004217669404997
0.15,0.2113392222415933,1.3983925370839596
0.16,0.225312431673059,1.3962265804664282
0.17,0.2392633007874694,1.3939245359887962
0.18,0.2531904679072299,1.3914870490813551
0.19,0.2670925884969657,1.3889148587017617
0.2,0.2809683225072907,1.3862087308264694
0.21,0.2948163298888189,1.3833694314319327
0.22,0.30863527265894,1.3803977377661525
0.23,0.3224238358243041,1.377294519861186
0.24,0.3361807183091839,1.374060693303926
0.25,0.3499046192129296,1.3706971739934048
0.26,0.3635942376316998,1.3672048788766429
0.27,0.377248285145803,1.363584778400596
0.28,0.3908655004209711,1.3598379201406805
0.29,0.4044446253949831,1.355965357595088
0.3,0.4179844020056181,1.3519681442620108
0.31,0.4314835771003342,1.3478473494276897
0.32,0.4449409294104975,1.3436041218071586
0.33,0.4583552501594217,1.3392396348678923
0.34,0.4717253305933944,1.3347550620805977
0.35,0.485049962645629,1.3301515790748624
0.36,0.4983279617440017,1.325430410642818
0.37,0.5115581717417138,1.3205928299644385
0.38,0.5247394381700763,1.315640112218181
0.39,0.5378706065596126,1.310573532586365
0.4,0.5509505322716659,1.3053943841496138
0.41,0.5639781096513321,1.3001040147136724
0.42,0.5769522426193335,1.2947037822154082
0.43,0.5898718350963933,1.2891950445916878
0.44,0.6027357904075625,1.2835791611053011
0.45,0.6155430405816967,1.2778575254615314
0.46,0.6282925582843654,1.2720315650706755
0.47,0.6409833182493588,1.266102708606344
0.48,0.6536142952104673,1.2600723847421456
0.49,0.6661844639014811,1.25394202215169
0.5,0.6786928085850105,1.2477130611158416
0.51,0.6911383677473565,1.241386976466198
0.52,0.7035201987671373,1.2349652467418482
0.53,0.7158373590370521,1.2284493504549931
0.54,0.7280889059497997,1.221840766117834
0.55,0.740273897032549,1.2151409726757896
0.56,0.7523914146682428,1.208351463439762
0.5700000000000001,0.7644405941914401,1.2014737388775965
0.58,0.7764205776781854,1.1945092973626223
0.59,0.7883305072045235,1.1874596372681698
0.6,0.8001695248464986,1.1803262569675683
0.61,0.8119367749705662,1.1731106566266896
0.62,0.8236314450705655,1.1658143396054763
0.63,0.8352527609020413,1.1584387975916393
0.64,0.8467999495379389,1.1509855209977575
0.65,0.8582722380512037,1.14345600023641
0.66,0.8696688535147812,1.1358517257201752
0.67,0.8809890323370765,1.1281741888899592
0.68,0.8922320655884337,1.1204248621764423
0.6900000000000001,0.9033972641405318,1.1126052032420468
0.7000000000000001,0.914483938891567,1.104716669666532
0.71,0.9254914007397352,1.0967607190296582
0.72,0.9364189606961726,1.0887388090845265
0.73,0.9472659529166512,1.0806523893913131
0.74,0.958031762771124,1.0725028713251563
0.75,0.9687157824911534,1.0642916581617077
0.76,0.9793174043083016,1.0560201531766171
0.77,0.9898360204541318,1.0476897596455366
0.78,1.0002710251036575,1.0393018805485372
0.79,1.0106218511787295,1.0308578894366
0.8,1.0208879673038145,1.0223591199008166
0.81,1.0310688434367097,1.0138069031156978
0.8200000000000001,1.041163949535214,1.0052025702557537
0.8300000000000001,1.0511727555571249,0.9965474524954951
0.84,1.0610947392119958,0.987842875560648
0.85,1.070929425683878,0.9790901119983264
0.86,1.0806763581120111,0.9702904069870716
0.87,1.0903350796689204,0.9614450055538928
0.88,1.0999051335271288,0.9525551527258012
0.89,1.1093860629330548,0.9436220935660752
0.9,1.118777429840768,0.9346470525985164
0.91,1.1280788393763652,0.9256311902090444
0.92,1.1372899027227732,0.9165756549004036
0.93,1.1464102310629194,0.9074815951753378
0.94,1.1554394355797304,0.8983501595365909
0.95,1.164377126977064,0.8891824987587765
0.96,1.1732229395267944,0.8799797316698676
0.97,1.1819765510943,0.8707428963889309
0.98,1.1906376430725163,0.8614730235506968
0.99,1.199205896854379,0.8521711437898961
1.0,1.2076809938328237,0.8428382877412595
1.01,1.2160626154007854,0.8334754860395173
1.02,1.2243504433865608,0.8240837688660334
1.03,1.2325441860399595,0.8146641218837366
1.04,1.2406435909105007,0.8052174493623422
1.05,1.2486484085398246,0.7957446468905502
1.06,1.2565583894695738,0.7862466100570613
1.07,1.2643732842413895,0.7767242344505755
1.08,1.272092843396914,0.7671784156597932
1.09,1.2797168175012934,0.7576100492287675
1.1,1.2872449767436158,0.7480199894974299
1.11,1.2946771262751655,0.7384090102192763
1.12,1.3020130717516427,0.7287778810013645
1.13,1.309252618828747,0.7191273714507523
1.14,1.3163955731621784,0.7094582511744975
1.15,1.3234417404776904,0.6997712896739933
1.16,1.3303909390218662,0.6900672273481699
1.17,1.3372430130052462,0.680346736108575
1.18,1.3439978097763057,0.670610478029404
1.19,1.3506551766835202,0.6608591151848526
1.2,1.357214961075366,0.6510933096491162
1.21,1.3636770105677878,0.641313722919072
1.22,1.3700411869792224,0.631520978484949
1.23,1.3763073722675752,0.6217156394814324
1.24,1.382475449825039,0.6118982637334003
1.25,1.3885453030438064,0.6020694090657311
1.26,1.39451681531607,0.592229633303303
1.27,1.4003898705666946,0.5823794928996692
